1. Have you used an AI-powered calculator to solve math problems?,2. What AI-powered calculator/s have you used? (Toggle all that applies),Mathway,Photomath,Symbolab,Wolfram Alpha,Socratic,Maple Calculator,CameraMath,Brilliant,Microsoft Math Solver,MyScript,Not Applicable,Others,3. What AI-powered calculator/s do you usually use? (Toggle all that applies),Mathway,Photomath,Symbolab,Wolfram Alpha,Socratic,Maple Calculator,CameraMath,Brilliant,Microsoft Math Solver,MyScript,Not Applicable,Others,4. How often do you use AI-powered calculators?,5. How long have you been using an AI-powered calculator?,"6. In what specific branch of mathematics do you frequently use an AI-powered
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,Less than 6 months,"Algebra, Trigonometry, Derivatives, Integrals, Differential Equations", ,1,1, ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,2,5,3,2,4,1,1
Yes,"Mathway, Photomath, Microsoft Math Solver",1,1,,,,,,,1,,,,"Mathway, Microsoft Math Solver",1,,,,,,,,1,,,,1-5 times a week,Less than 6 months,"Arithmetic, Algebra",1,1, , , , , , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,2,3,4,3,1
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,6 months - 1 year,Arithmetic,1, , , , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,3,4,4,3,4,2,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Symbolab",1,,1,,,,,,,,,,1-10 times per month,More than a year,"Arithmetic, Algebra, Trigonometry",1,1,1, , , , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,4,4,5,2,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Once per day,6 months - 1 year,"Trigonometry, Numerical Methods", , ,1,1, , , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,5,3,3,5,3,3
Yes,"Photomath, Symbolab",,1,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,6 months - 1 year,"Trigonometry, Derivatives, Integrals", , ,1, ,1,1, , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,3,3,4,3,4,1
Yes,"Photomath, Symbolab, Wolfram Alpha",,1,1,1,,,,,,,,,Wolfram Alpha,,,,1,,,,,,,,,1-10 times per month,Less than 6 months,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,No,2,3,3,4,3,5,1
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals", , , , ,1,1, , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,2,3,3,3,3,4,3
Yes,"Photomath, Symbolab, Maple Calculator, CameraMath, Microsoft Math Solver",,1,1,,,1,1,,1,,,,Symbolab,,,1,,,,,,,,,,More than 10 times a day,More than a year,"Arithmetic, Algebra",1,1, , , , , , ,Manual calculation with the aid of AI-powered calculator,Just copy the solution provided by the AI-powered calculator.,Yes,Yes,3,3,3,5,1,4,3
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,Integrals, , , , , ,1, , ,Pure manual calculation,Analyze first and try to solve it on my own.,No,Yes,3,4,2,4,3,3,1
Yes,"Mathway, Photomath, Wolfram Alpha",1,1,,1,,,,,,,,,"Photomath, Symbolab",,1,1,,,,,,,,,,1-10 times per month,Less than 6 months,Trigonometry, , ,1, , , , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,2,3,4,3,3
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,6 months - 1 year,"Derivatives, Integrals", , , , ,1,1, , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,3,4,5,2,1
Yes,"Photomath, Symbolab",,1,1,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-5 times a week,More than a year,"Algebra, Trigonometry, Derivatives, Integrals", ,1,1, ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,3,4,2,3,3,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Photomath, Symbolab",,1,1,,,,,,,,,,1-5 times a week,More than a year,"Derivatives, Integrals", , , , ,1,1, , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,2,3,2,2,4,3,1
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,1-10 times per month,Less than 6 months,"Numerical Methods, Derivatives, Integrals, Differential Equations", , , ,1,1,1,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,4,3,5,3,5,4,1
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,Integrals, , , , , ,1, , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,3,3,3,3,3,3,3
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-5 times a week,More than a year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,5,4,3,5,4,3
Yes,Symbolab,,,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,4,2,4,2,1
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-5 times a week,More than a year,"Arithmetic, Algebra, Trigonometry, Numerical Methods, Derivatives, Integrals, Differential Equations",1,1,1,1,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,5,5,5,5,5,5,5
Yes,"Photomath, Socratic",,1,,,1,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,"Arithmetic, Trigonometry, Derivatives, Differential Equations",1, ,1, ,1, ,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,2,3,4,3,3,3,1
Yes,"Mathway, Symbolab, Wolfram Alpha, Maple Calculator",1,,1,1,,1,,,,,,,"Symbolab, Maple Calculator",,,1,,,1,,,,,,,1-10 times per month,Less than 6 months,Arithmetic,1, , , , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,4,4,3,4,2,4
Yes,"Mathway, Microsoft Math Solver",1,,,,,,,,1,,,,Mathway,1,,,,,,,,,,,,More than 10 times a day,More than a year,Differential Equations, , , , , , ,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,4,4,3,4,4,3
No,Brilliant,,,,,,,,1,,,,,Brilliant,,,,,,,,1,,,,,Once per day,Less than 6 months,Algebra, ,1, , , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,5,3,4,4,4,4
Yes,"Photomath, CameraMath",,1,,,,,1,,,,,,"Photomath, CameraMath",,1,,,,,1,,,,,,1-10 times per month,Less than 6 months,"Arithmetic, Integrals",1, , , , ,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,No,No,1,1,3,4,3,5,3
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Symbolab",1,,1,,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,4,3,3,3,2,1
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha, Socratic",1,1,1,1,1,,,,,,,,Symbolab,,,1,,,,,,,,,,1-5 times a week,More than a year,"Numerical Methods, Derivatives, Integrals, Differential Equations", , , ,1,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,3,3,2,3,2,2
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,1-10 times per month,More than a year,"Arithmetic, Algebra, Trigonometry, Numerical Methods, Derivatives, Integrals, Differential Equations",1,1,1,1,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Just copy the solution provided by the AI-powered calculator.,Yes,Yes,4,5,5,2,5,3,3
Yes,Symbolab,,,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,Less than 6 months,"Arithmetic, Algebra, Trigonometry, Numerical Methods, Derivatives, Integrals, Differential Equations",1,1,1,1,1,1,1, ,Pure manual calculation,Just copy the solution provided by the AI-powered calculator.,Yes,Yes,2,3,3,4,3,1,2
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-5 times a week,More than a year,"Algebra, Trigonometry, Integrals, Differential Equations", ,1,1, , ,1,1, ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,5,4,4,3,4,1,3
Yes,"Mathway, Symbolab, Wolfram Alpha, Socratic",1,,1,1,1,,,,,,,,Symbolab,,,1,,,,,,,,,,More than 10 times a day,More than a year,"Arithmetic, Algebra, Trigonometry, Numerical Methods, Derivatives, Integrals, Differential Equations",1,1,1,1,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,4,4,3,4,1,2
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha, Socratic",1,1,1,1,1,,,,,,,,"Mathway, Photomath, Symbolab, Wolfram Alpha, Socratic",1,1,1,1,1,,,,,,,,2-10 times a day,More than a year,"Arithmetic, Algebra, Trigonometry, Numerical Methods, Derivatives, Integrals, Differential Equations",1,1,1,1,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,3,2,3,4,1,1
Yes,"Mathway, Symbolab",1,,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,More than a year,"Integrals, Differential Equations", , , , , ,1,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,No,3,4,4,2,4,1,1
Yes,"Mathway, Symbolab, Wolfram Alpha",1,,1,1,,,,,,,,,Wolfram Alpha,,,,1,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,4,3,4,2,1
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,"Symbolab, Wolfram Alpha",,,1,1,,,,,,,,,1-10 times per month,More than a year,"Algebra, Trigonometry", ,1,1, , , , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,3,4,3,4,5,1
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,More than a year,Algebra, ,1, , , , , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,4,2,4,3,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Symbolab",1,,1,,,,,,,,,,1-5 times a week,More than a year,"Arithmetic, Algebra, Trigonometry, Numerical Methods, Derivatives, Integrals, Differential Equations",1,1,1,1,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,3,5,3,4,3,1
Yes,"Mathway, Symbolab, Wolfram Alpha",1,,1,1,,,,,,,,,Wolfram Alpha,,,,1,,,,,,,,,1-10 times per month,More than a year,"Algebra, Differential Equations", ,1, , , , ,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,2,4,4,4,3,4,2
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,Algebra, ,1, , , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,2,2,3,3,2,2,1
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,"Trigonometry, Derivatives, Integrals", , ,1, ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,2,4,4,2,3,2,3
Yes,"Photomath, Wolfram Alpha",,1,,1,,,,,,,,,Wolfram Alpha,,,,1,,,,,,,,,1-10 times per month,More than a year,"Algebra, Derivatives, Integrals", ,1, , ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,2,4,4,4,4,3,1
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,More than a year,"Arithmetic, Algebra, Trigonometry, Numerical Methods, Derivatives, Integrals, Differential Equations",1,1,1,1,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,4,4,2,4,3,1
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,"Algebra, Trigonometry, Derivatives, Differential Equations", ,1,1, ,1, ,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,4,4,5,3,4,3,5
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,More than a year,Derivatives, , , , ,1, , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,3,4,2,5,2,1
Yes,"Mathway, Symbolab",1,,1,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,6 months - 1 year,Derivatives, , , , ,1, , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,3,3,2,4,1,1
Yes,"Photomath, Symbolab",,1,1,,,,,,,,,,"Photomath, Symbolab",,1,1,,,,,,,,,,1-10 times per month,More than a year,"Algebra, Trigonometry", ,1,1, , , , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,2,3,4,2,3,1,1
Yes,"Symbolab, Microsoft Math Solver",,,1,,,,,,1,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,Less than 6 months,"Algebra, Trigonometry, Integrals", ,1,1, , ,1, , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,3,2,3,3,2,2
Yes,Symbolab,,,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals", , , , ,1,1, , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,5,2,4,1,1
Yes,"Mathway, Photomath, Wolfram Alpha",1,1,,1,,,,,,,,,"Mathway, Wolfram Alpha",1,,,1,,,,,,,,,1-10 times per month,More than a year,"Algebra, Trigonometry, Numerical Methods, Derivatives, Integrals", ,1,1,1,1,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,2,2,3,2,3,1,1
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,More than a year,Algebra, ,1, , , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,No,Yes,2,2,3,2,2,2,2
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-5 times a week,More than a year,Derivatives, , , , ,1, , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,4,4,4,2,4,2,1
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,Less than 6 months,"Trigonometry, Numerical Methods", , ,1,1, , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,3,2,3,3,3,1,1
Yes,"Photomath, Symbolab",,1,1,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,Less than 6 months,"Arithmetic, Algebra, Trigonometry",1,1,1, , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,1,1,1,1,1,1,1
No,None,,,,,,,,,,,,,None,,,,,,,,,,,,,Never,Less than 6 months,Arithmetic,1, , , , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,No,No,1,1,1,1,1,1,1
Yes,"Mathway, Photomath, Wolfram Alpha",1,1,,1,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,Trigonometry, , ,1, , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,2,3,3,3,3,3,3
Yes,"MyScript, Derivative Calculator",,,,,,,,,,1,,,Python,,,,,,,,,,,,,1-10 times per month,6 months - 1 year,"Arithmetic, Algebra, Derivatives",1,1, , ,1, , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,3,4,2,3,3,2,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,6 months - 1 year,Algebra, ,1, , , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,3,3,3,3,3,3
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,"Trigonometry, Differential Equations", , ,1, , , ,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,No,No,2,2,2,5,2,4,2
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,Less than 6 months,Arithmetic,1, , , , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,No,2,4,3,2,3,1,2
Yes,"Mathway, Photomath, Symbolab, Microsoft Math Solver",1,1,1,,,,,,1,,,,"Mathway, Photomath, Microsoft Math Solver",1,1,,,,,,,1,,,,1-5 times a week,More than a year,"Algebra, Trigonometry, Derivatives, Integrals, Differential Equations", ,1,1, ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,5,4,5,5,4
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,1-10 times per month,Less than 6 months,"Derivatives, Integrals", , , , ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,3,3,3,3,3,3
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,More than a year,"Arithmetic, Algebra, Trigonometry",1,1,1, , , , , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,3,3,3,3,3,3
Yes,"Mathway, Symbolab, Wolfram Alpha",1,,1,1,,,,,,,,,Mathway,1,,,,,,,,,,,,Once per day,Less than 6 months,"Derivatives, Differential Equations", , , , ,1, ,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,4,3,4,4,1,1
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,Derivatives, , , , ,1, , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,3,2,2,2,2
Yes,"Mathway, Photomath, Symbolab, CameraMath",1,1,1,,,,1,,,,,,"Mathway, Photomath, Symbolab, CameraMath",1,1,1,,,,1,,,,,,Once per day,Less than 6 months,"Derivatives, Differential Equations", , , , ,1, ,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,3,2,4,2,2
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,Derivatives, , , , ,1, , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,3,3,4,2,4,3,1
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-5 times a week,More than a year,"Arithmetic, Algebra, Trigonometry, Numerical Methods, Derivatives, Integrals, Differential Equations",1,1,1,1,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,5,5,3,4,3,2
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,6 months - 1 year,"Algebra, Derivatives, Differential Equations", ,1, , ,1, ,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,2,3,4,2,3,2,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,6 months - 1 year,"Algebra, Trigonometry, Derivatives, Integrals, Differential Equations", ,1,1, ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,4,4,3,3,1
Yes,"Mathway, Symbolab",1,,1,,,,,,,,,,"Mathway, Symbolab",1,,1,,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,3,5,5,1,5,3
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,6 months - 1 year,"Derivatives, Integrals", , , , ,1,1, , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,3,3,3,3,3,3
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,Once per day,6 months - 1 year,Arithmetic,1, , , , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,4,4,4,4,4,4
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,Once per day,More than a year,Algebra, ,1, , , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,2,3,2,2,2,3,2
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,Less than 6 months,Algebra, ,1, , , , , , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,No,No,2,2,3,3,2,3,2
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,Less than 6 months,"Arithmetic, Algebra",1,1, , , , , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,No,2,3,4,2,4,3,1
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-5 times a week,6 months - 1 year,Algebra, ,1, , , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,2,4,4,3,3,3,1
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,Trigonometry, , ,1, , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,No,2,2,2,3,2,3,1
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,Less than 6 months,"Arithmetic, Algebra",1,1, , , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,4,5,2,4,3,2
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,"Arithmetic, Trigonometry",1, ,1, , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,2,4,2,3,4,3,2
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,Once per day,Less than 6 months,Arithmetic,1, , , , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,No,No,2,3,4,3,3,3,3
No,Not Applicable,,,,,,,,,,,1,,Not Applicable,,,,,,,,,,,1,,Never,Not Applicable,Not Applicable, , , , , , , ,1,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,1,5,5,3,5,3,1
Yes,"Photomath, Socratic",,1,,,1,,,,,,,,"Symbolab, Microsoft Math Solver",,,1,,,,,,1,,,,1-10 times per month,6 months - 1 year,"Arithmetic, Algebra",1,1, , , , , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,5,4,4,4,4,2,1
